index,id,beer_name,style,ounces,abv,brewery_id,brewery_name,city,state
44,2544,Send Help,American Blonde Ale,12.0,0.05,60,4 Hands Brewing Company,Saint Louis,MO
45,2324,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.06,60,4 Hands Brewing Company,Saint Louis,MO
46,2288,Reprise Centennial Red,American Amber / Red Ale,12.0,0.06,60,4 Hands Brewing Company,Saint Louis,MO
47,2287,Alter Ego,American Black Ale,12.0,0.06,60,4 Hands Brewing Company,Saint Louis,MO
48,2286,Divided Sky,American IPA,12.0,0.065,60,4 Hands Brewing Company,Saint Louis,MO
49,2285,Resurrected,American IPA,12.0,0.065,60,4 Hands Brewing Company,Saint Louis,MO
50,1870,Contact High,American Pale Wheat Ale,12.0,0.05,60,4 Hands Brewing Company,Saint Louis,MO
62,1583,Wolfman's Berliner,Berliner Weissbier,12.0,0.038,373,7venth Sun,Dunedin,FL
63,1165,Colorado Native,American Amber / Red Lager,12.0,0.055,462,AC Golden Brewing Company,Golden,CO
64,431,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,462,AC Golden Brewing Company,Golden,CO
65,516,Jockamo IPA,American IPA,12.0,0.065,533,Abita Brewing Company,Abita Springs,LA
66,515,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,533,Abita Brewing Company,Abita Springs,LA
67,514,Abita Amber,American Amber / Red Lager,12.0,0.045,533,Abita Brewing Company,Abita Springs,LA
86,2403,P-Town Pilsner,American Pilsner,12.0,0.04,117,Alameda Brewing,Portland,OR
87,2402,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,117,Alameda Brewing,Portland,OR
88,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,0.082,117,Alameda Brewing,Portland,OR
89,1921,Freeride APA,American Pale Ale (APA),12.0,0.053,270,Alaskan Brewing Company,Juneau,AK
90,1920,Alaskan Amber,Altbier,12.0,0.053,270,Alaskan Brewing Company,Juneau,AK
91,2501,Hopalicious,American Pale Ale (APA),12.0,0.057,73,Ale Asylum,Madison,WI
97,2592,Liberty Ale,American IPA,12.0,0.06,35,Anchor Brewing Company,San Francisco,CA
98,2578,IPA,American IPA,12.0,0.07,35,Anchor Brewing Company,San Francisco,CA
99,2577,Summer Wheat,American Pale Wheat Ale,12.0,0.05,35,Anchor Brewing Company,San Francisco,CA
100,2103,California Lager,American Amber / Red Lager,12.0,0.049,35,Anchor Brewing Company,San Francisco,CA
101,2102,Brotherhood Steam,California Common / Steam Beer,12.0,0.06,35,Anchor Brewing Company,San Francisco,CA
102,2291,Blood Orange Gose,Gose,12.0,0.042,171,Anderson Valley Brewing Company,Boonville,CA
103,1818,Keebarlin' Pale Ale,American Pale Ale (APA),12.0,0.042,171,Anderson Valley Brewing Company,Boonville,CA
104,1738,"the Kimmie, the Yink and the Holy Gose",Gose,12.0,0.05,171,Anderson Valley Brewing Company,Boonville,CA
105,1563,Fall Hornin',Pumpkin Ale,12.0,0.06,171,Anderson Valley Brewing Company,Boonville,CA
106,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,171,Anderson Valley Brewing Company,Boonville,CA
107,1350,Summer Solstice,Cream Ale,12.0,0.056,171,Anderson Valley Brewing Company,Boonville,CA
108,1327,Hop Ottin' IPA,American IPA,12.0,0.07,171,Anderson Valley Brewing Company,Boonville,CA
109,1326,Boont Amber Ale,American Amber / Red Ale,12.0,0.06,171,Anderson Valley Brewing Company,Boonville,CA
110,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,171,Anderson Valley Brewing Company,Boonville,CA
112,811,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.06,171,Anderson Valley Brewing Company,Boonville,CA
113,753,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,171,Anderson Valley Brewing Company,Boonville,CA
114,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,0.06,171,Anderson Valley Brewing Company,Boonville,CA
115,523,Winter Solstice,Winter Warmer,12.0,0.07,171,Anderson Valley Brewing Company,Boonville,CA
116,367,Hop Ottin' IPA (2011),American IPA,12.0,0.07,171,Anderson Valley Brewing Company,Boonville,CA
117,78,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,171,Anderson Valley Brewing Company,Boonville,CA
118,77,Summer Solstice (2011),Cream Ale,12.0,0.056,171,Anderson Valley Brewing Company,Boonville,CA
119,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,171,Anderson Valley Brewing Company,Boonville,CA
125,1292,Angry Orchard Crisp Apple,Cider,12.0,0.05,434,Angry Orchard Cider Company,Cincinnati,OH
126,2207,Golden One,Belgian Pale Ale,12.0,0.068,193,Anthem Brewing Company,Oklahoma City,OK
127,2040,Arjuna,Witbier,12.0,0.06,193,Anthem Brewing Company,Oklahoma City,OK
128,2039,Uroboros,American Stout,12.0,0.09,193,Anthem Brewing Company,Oklahoma City,OK
132,413,Sky High Rye,American Pale Ale (APA),12.0,0.06,541,Arcadia Brewing Company,Battle Creek,MI
133,390,Whitsun,American Pale Wheat Ale,12.0,0.062,541,Arcadia Brewing Company,Battle Creek,MI
134,735,On-On Ale (2008),American Pale Ale (APA),12.0,0.052,513,Arctic Craft Brewery,Colorado Springs,CO
135,1333,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,426,Armadillo Ale Works,Denton,TX
136,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.05,426,Armadillo Ale Works,Denton,TX
139,550,Rocket Girl,K閺嬫sch,12.0,0.032,528,Asheville Brewing Company,Asheville,NC
140,429,Ninja Porter,American Porter,12.0,0.053,528,Asheville Brewing Company,Asheville,NC
141,428,Shiva IPA,American IPA,12.0,0.06,528,Asheville Brewing Company,Asheville,NC
145,597,This Season's Blonde,American Blonde Ale,12.0,0.056,523,Aspen Brewing Company,Aspen,CO
146,596,Independence Pass Ale,American IPA,12.0,0.07,523,Aspen Brewing Company,Aspen,CO
147,1580,Trolley Stop Stout,American Stout,12.0,0.057,374,Astoria Brewing Company,Astoria,OR
148,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,0.08,374,Astoria Brewing Company,Astoria,OR
149,979,Poop Deck Porter,American Porter,12.0,0.062,374,Astoria Brewing Company,Astoria,OR
150,978,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.06,374,Astoria Brewing Company,Astoria,OR
154,534,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,72,Atwater Brewery,Detroit,MI
155,528,Grand Circus IPA,American IPA,12.0,0.05,72,Atwater Brewery,Detroit,MI
156,527,Atwater's Lager,Munich Helles Lager,12.0,0.05,72,Atwater Brewery,Detroit,MI
158,343,Fire Eagle IPA,American IPA,12.0,0.06,413,Austin Beerworks,Austin,TX
159,342,Peacemaker,American Pale Ale (APA),12.0,0.051,413,Austin Beerworks,Austin,TX
160,341,Pearl-Snap,German Pilsener,12.0,0.053,413,Austin Beerworks,Austin,TX
161,340,Black Thunder,Schwarzbier,12.0,0.052,413,Austin Beerworks,Austin,TX
162,2589,Raja,American Double / Imperial IPA,12.0,0.08,37,Avery Brewing Company,Boulder,CO
163,2546,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,37,Avery Brewing Company,Boulder,CO
164,146,Avery Joe闁炽儲鐛 Premium American Pilsner,German Pilsener,12.0,0.047,37,Avery Brewing Company,Boulder,CO
165,108,White Rascal,Witbier,12.0,0.056,37,Avery Brewing Company,Boulder,CO
166,107,Avery India Pale Ale,American IPA,12.0,0.063,37,Avery Brewing Company,Boulder,CO
167,106,Ellie闁炽儲鐛 Brown Ale,American Brown Ale,12.0,0.055,37,Avery Brewing Company,Boulder,CO
168,1620,Pumpkin Beast,Pumpkin Ale,12.0,0.062,360,Aviator Brewing Company,Fuquay-Varina,NC
169,1579,OktoberBeast,M閻╃灗zen / Oktoberfest,12.0,0.072,360,Aviator Brewing Company,Fuquay-Varina,NC
170,1228,Mad Beach,American Pale Wheat Ale,12.0,0.05,360,Aviator Brewing Company,Fuquay-Varina,NC
171,705,Hog Wild India Pale Ale,American IPA,12.0,0.067,360,Aviator Brewing Company,Fuquay-Varina,NC
172,704,Devils Tramping Ground Tripel,Tripel,12.0,0.092,360,Aviator Brewing Company,Fuquay-Varina,NC
173,702,Hot Rod Red,American Amber / Red Ale,12.0,0.061,360,Aviator Brewing Company,Fuquay-Varina,NC
174,2058,Palate Mallet,American Double / Imperial IPA,12.0,0.086,235,Back East Brewing Company,Bloomfield,CT
175,1483,Back East Porter,American Porter,12.0,0.06,235,Back East Brewing Company,Bloomfield,CT
176,1426,Back East Golden Ale,American Blonde Ale,12.0,0.05,235,Back East Brewing Company,Bloomfield,CT
177,1132,Misty Mountain IPA,American IPA,12.0,0.07,235,Back East Brewing Company,Bloomfield,CT
178,1131,Back East Ale,American Amber / Red Ale,12.0,0.05,235,Back East Brewing Company,Bloomfield,CT
179,1876,Truck Stop Honey Brown Ale,English Brown Ale,12.0,0.06,286,Back Forty Beer Company,Gadsden,AL
180,1875,Naked Pig Pale Ale,American Pale Ale (APA),12.0,0.06,286,Back Forty Beer Company,Gadsden,AL
181,966,Topcutter India Pale Ale,American IPA,12.0,0.068,483,Bale Breaker Brewing Company,Yakima,WA
182,965,Field 41 Pale Ale,American Pale Ale (APA),12.0,0.04,483,Bale Breaker Brewing Company,Yakima,WA
183,2593,Grapefruit Sculpin,American IPA,12.0,0.07,34,Ballast Point Brewing Company,San Diego,CA
184,2105,Even Keel,American IPA,12.0,0.04,34,Ballast Point Brewing Company,San Diego,CA
185,1401,Ballast Point Pale Ale,K閺嬫sch,12.0,0.05,34,Ballast Point Brewing Company,San Diego,CA
186,1400,Big Eye India Pale Ale,American IPA,12.0,0.07,34,Ballast Point Brewing Company,San Diego,CA
187,1019,Longfin Lager,Munich Helles Lager,12.0,0.046,34,Ballast Point Brewing Company,San Diego,CA
188,1018,Sculpin IPA,American IPA,12.0,0.07,34,Ballast Point Brewing Company,San Diego,CA
189,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,0.045,318,Banner Beer Company,Williamsburg,MA
190,1644,Banner American Rye,Rye Beer,12.0,0.05,318,Banner Beer Company,Williamsburg,MA
191,1643,Banner American Ale,American Amber / Red Ale,12.0,0.035,318,Banner Beer Company,Williamsburg,MA
193,2005,Barrio Blanco,American IPA,12.0,0.06,251,Barrio Brewing Company,Tucson,AZ
194,1343,Barrio Tucson Blonde,American Blonde Ale,12.0,0.045,251,Barrio Brewing Company,Tucson,AZ
195,2404,Hop in the 闁炽儲銈秓ol Helles,American Pilsner,12.0,0.05,116,Base Camp Brewing Co.,Portland,OR
196,2323,Ultra Gnar Gnar IPA,American IPA,12.0,0.067,116,Base Camp Brewing Co.,Portland,OR
197,2189,In-Tents India Pale Lager,American Pale Lager,12.0,0.068,116,Base Camp Brewing Co.,Portland,OR
198,2188,Lost Meridian Wit,Witbier,12.0,0.05,116,Base Camp Brewing Co.,Portland,OR
199,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,0.051,116,Base Camp Brewing Co.,Portland,OR
200,1966,Wagon Party,California Common / Steam Beer,12.0,0.054,258,Bauhaus Brew Labs,Minneapolis,MN
201,1965,Sky-Five,American IPA,12.0,0.07,258,Bauhaus Brew Labs,Minneapolis,MN
202,1964,Stargrazer,Schwarzbier,12.0,0.05,258,Bauhaus Brew Labs,Minneapolis,MN
203,1963,Wonderstuff,German Pilsener,12.0,0.054,258,Bauhaus Brew Labs,Minneapolis,MN
204,1855,Tarnation California-Style Lager,California Common / Steam Beer,12.0,0.053,292,Baxter Brewing Company,Lewiston,ME
206,1209,Summer Swelter,American Pale Wheat Ale,12.0,0.047,292,Baxter Brewing Company,Lewiston,ME
207,954,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,0.068,292,Baxter Brewing Company,Lewiston,ME
208,910,Hayride Autumn Ale,Rye Beer,12.0,0.066,292,Baxter Brewing Company,Lewiston,ME
209,707,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.047,292,Baxter Brewing Company,Lewiston,ME
210,533,Amber Road,American Amber / Red Ale,12.0,0.055,292,Baxter Brewing Company,Lewiston,ME
211,183,Pamola Xtra Pale Ale,American Pale Ale (APA),12.0,0.05,292,Baxter Brewing Company,Lewiston,ME
212,182,Stowaway IPA,American IPA,12.0,0.069,292,Baxter Brewing Company,Lewiston,ME
214,2435,Watermelon Ale,Fruit / Vegetable Beer,12.0,0.05,103,Beer Works Brewery,Lowell,MA
215,2423,Fenway American Pale Ale,American Pale Ale (APA),12.0,0.06,103,Beer Works Brewery,Lowell,MA
216,2420,Back Bay IPA,American IPA,12.0,0.07,103,Beer Works Brewery,Lowell,MA
217,2419,Bunker Hill Blueberry Ale,Other,12.0,0.048,103,Beer Works Brewery,Lowell,MA
218,2494,Oberon,American Pale Wheat Ale,12.0,0.06,76,Bell's Brewery,Kalamazoo,MI
224,2558,Moar,English India Pale Ale (IPA),12.0,0.044,53,Bent Brewstillery,Roseville,MN
226,2556,Nordic Blonde,American Blonde Ale,12.0,0.06,53,Bent Brewstillery,Roseville,MN
227,2496,Cold Press,American Black Ale,12.0,0.06,75,Bent Paddle Brewing Company,Duluth,MN
228,2410,Harness the Winter,American IPA,12.0,0.072,75,Bent Paddle Brewing Company,Duluth,MN
229,1902,14閹?ESB,Extra Special / Strong Bitter (ESB),12.0,0.056,75,Bent Paddle Brewing Company,Duluth,MN
230,1901,Bent Hop Golden IPA,American IPA,12.0,0.062,75,Bent Paddle Brewing Company,Duluth,MN
231,1261,Bent Paddle Black Ale,American Black Ale,12.0,0.06,75,Bent Paddle Brewing Company,Duluth,MN
232,1253,Venture Pils,German Pilsener,12.0,0.05,75,Bent Paddle Brewing Company,Duluth,MN
233,1900,Lost Sailor IPA,English India Pale Ale (IPA),12.0,0.055,278,Berkshire Brewing Company,South Deerfield,MA
234,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0,0.053,278,Berkshire Brewing Company,South Deerfield,MA
235,1158,La Frontera Premium IPA,American IPA,12.0,0.08,463,Big Bend Brewing Company,Alpine,TX
236,1157,Tejas Lager,Czech Pilsener,12.0,0.05,463,Big Bend Brewing Company,Alpine,TX
237,1156,Number 22 Porter,American Porter,12.0,0.064,463,Big Bend Brewing Company,Alpine,TX
238,1155,Big Bend Hefeweizen,Hefeweizen,12.0,0.06,463,Big Bend Brewing Company,Alpine,TX
239,1154,Terlingua Gold,American Blonde Ale,12.0,0.06,463,Big Bend Brewing Company,Alpine,TX
241,1762,Hemlock Double IPA,American Double / Imperial IPA,12.0,0.10,220,Big Choice Brewing,Broomfield,CO
244,1003,Big Elm IPA,American IPA,12.0,0.07,477,Big Elm Brewing,Sheffield,MA
245,1002,Gerry Dog Stout,American Stout,12.0,0.065,477,Big Elm Brewing,Sheffield,MA
246,1001,413 Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.06,477,Big Elm Brewing,Sheffield,MA
249,2586,Blueberry Blonde,Fruit / Vegetable Beer,12.0,0.06,40,Big Muddy Brewing,Murphysboro,IL
251,643,Big River Pilsner,Czech Pilsener,12.0,0.05,519,Big River Brewing Company,Chattanooga,TN
252,632,House Brand IPA,American IPA,12.0,0.06,519,Big River Brewing Company,Chattanooga,TN
253,1714,Big Sky IPA,American IPA,12.0,0.062,336,Big Sky Brewing Company,Missoula,MT
254,1713,Scape Goat Pale Ale,English Pale Ale,12.0,0.05,336,Big Sky Brewing Company,Missoula,MT
255,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,12.0,0.05,336,Big Sky Brewing Company,Missoula,MT
256,1711,Moose Drool Brown Ale,American Brown Ale,12.0,0.051,336,Big Sky Brewing Company,Missoula,MT
257,1456,Powder Hound Winter Ale,English Strong Ale,12.0,0.072,336,Big Sky Brewing Company,Missoula,MT
258,767,Moose Drool Brown Ale (2011),American Brown Ale,12.0,0.051,336,Big Sky Brewing Company,Missoula,MT
259,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,12.0,0.05,336,Big Sky Brewing Company,Missoula,MT
260,579,Big Sky IPA (2012),American IPA,12.0,0.062,336,Big Sky Brewing Company,Missoula,MT
261,168,Summer Honey,American Blonde Ale,12.0,0.047,336,Big Sky Brewing Company,Missoula,MT
262,159,Scape Goat Pale Ale (2010),English Pale Ale,12.0,0.05,336,Big Sky Brewing Company,Missoula,MT
263,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12.0,0.05,336,Big Sky Brewing Company,Missoula,MT
264,34,Moose Drool Brown Ale (2009),American Brown Ale,12.0,0.05,336,Big Sky Brewing Company,Missoula,MT
265,2096,Arcus IPA,American IPA,12.0,0.069,221,Big Storm Brewing Company,Odessa,FL
266,2095,Wavemaker,American Amber / Red Ale,12.0,0.06,221,Big Storm Brewing Company,Odessa,FL
273,1441,Blown Out Brown,American Brown Ale,12.0,0.052,407,Bitter Root Brewing,Hamilton,MT
274,1413,Single Hop Ale,American Pale Ale (APA),12.0,0.063,407,Bitter Root Brewing,Hamilton,MT
275,1411,Sawtooth Ale,American Blonde Ale,12.0,0.054,407,Bitter Root Brewing,Hamilton,MT
277,2412,Deception,American Blonde Ale,12.0,0.05,112,Black Market Brewing Company,Temecula,CA
278,1898,Blackmarket Rye IPA,American IPA,12.0,0.075,112,Black Market Brewing Company,Temecula,CA
279,1897,Black Market Hefeweizen,Hefeweizen,12.0,0.05,112,Black Market Brewing Company,Temecula,CA
280,1896,Aftermath Pale Ale,American Pale Ale (APA),12.0,0.058,112,Black Market Brewing Company,Temecula,CA
281,1850,American India Red Ale,American Strong Ale,12.0,0.071,294,Black Shirt Brewing Company,Denver,CO
282,1849,American Red Porter,American Porter,12.0,0.071,294,Black Shirt Brewing Company,Denver,CO
283,1848,American Red Saison,Saison / Farmhouse Ale,12.0,0.078,294,Black Shirt Brewing Company,Denver,CO
284,1847,Colorado Red Ale,American Amber / Red Ale,12.0,0.066,294,Black Shirt Brewing Company,Denver,CO
285,2485,Saddle Bronc Brown Ale,American Brown Ale,12.0,0.05,79,Black Tooth Brewing Company,Sheridan,WY
286,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,12.0,0.046,79,Black Tooth Brewing Company,Sheridan,WY
287,2449,Flying Sailor,Rye Beer,12.0,0.07,95,Blackrocks Brewery,Marquette,MA
288,2634,Nordskye,American IPA,12.0,0.048,12,Blackrocks Brewery,Marquette,MI
289,2153,North Third Stout,Foreign / Export Stout,12.0,0.06,12,Blackrocks Brewery,Marquette,MI
290,1953,Honey Lav,American Pale Wheat Ale,12.0,0.052,12,Blackrocks Brewery,Marquette,MI
291,1496,Coconut Brown Ale,American Brown Ale,12.0,0.068,12,Blackrocks Brewery,Marquette,MI
292,1481,51K IPA,American IPA,12.0,0.07,12,Blackrocks Brewery,Marquette,MI
293,1480,Grand Rabbits,Cream Ale,12.0,0.055,12,Blackrocks Brewery,Marquette,MI
294,1564,1800 Big Log Wheat (2012),American Pale Wheat Ale,12.0,0.05,380,Blue Blood Brewing Company,Lincoln,NE
295,1541,Double Play Pilsner,American Pilsner,12.0,None,380,Blue Blood Brewing Company,Lincoln,NE
296,1321,Brewerhood Brown Ale,American Brown Ale,12.0,0.06,380,Blue Blood Brewing Company,Lincoln,NE
297,1320,Last Call Imperial Amber Ale,American Amber / Red Ale,12.0,0.08,380,Blue Blood Brewing Company,Lincoln,NE
298,1319,Pernicious Double IPA,American Double / Imperial IPA,12.0,0.096,380,Blue Blood Brewing Company,Lincoln,NE
299,1303,6-4-3 Double Play Pilsner,German Pilsener,12.0,0.052,380,Blue Blood Brewing Company,Lincoln,NE
300,1025,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,12.0,None,380,Blue Blood Brewing Company,Lincoln,NE
301,1012,467 Ethan's Stout,American Stout,12.0,0.05,380,Blue Blood Brewing Company,Lincoln,NE
302,942,1335 Wicked Snout,Saison / Farmhouse Ale,12.0,0.064,380,Blue Blood Brewing Company,Lincoln,NE
303,937,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12.0,0.045,380,Blue Blood Brewing Company,Lincoln,NE
304,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,0.056,380,Blue Blood Brewing Company,Lincoln,NE
305,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,0.06,380,Blue Blood Brewing Company,Lincoln,NE
306,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0,0.06,380,Blue Blood Brewing Company,Lincoln,NE
307,611,834 Happy As Ale,American Pale Ale (APA),12.0,0.046,380,Blue Blood Brewing Company,Lincoln,NE
308,1372,Yellow Collar,Mead,12.0,0.059,422,Blue Dog Mead,Eugene,OR
309,1371,Green Collar,Mead,12.0,0.06,422,Blue Dog Mead,Eugene,OR
310,1812,Quarter Mile Double IPA,American Double / Imperial IPA,12.0,0.08,304,Blue Hills Brewery,Canton,MA
311,1547,Full Nelson Pale Ale,American Pale Ale (APA),12.0,0.059,382,Blue Mountain Brewery,Afton,VA
312,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),12.0,0.065,382,Blue Mountain Brewery,Afton,VA
313,1545,Blue Mountain Classic Lager,Euro Pale Lager,12.0,0.053,382,Blue Mountain Brewery,Afton,VA
314,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),12.0,0.059,382,Blue Mountain Brewery,Afton,VA
315,1408,K閺嬫sch 151,K閺嬫sch,12.0,0.049,414,Blue Mountain Brewery,Arrington,VA
316,2490,Professor Black,American Stout,12.0,None,77,Blue Owl Brewing,Austin,TX
317,2489,Little Boss,American Pale Wheat Ale,12.0,None,77,Blue Owl Brewing,Austin,TX
318,2488,Van Dayum!,American Amber / Red Ale,12.0,None,77,Blue Owl Brewing,Austin,TX
319,2487,Spirit Animal,American Pale Ale (APA),12.0,None,77,Blue Owl Brewing,Austin,TX
321,692,Blue Point White IPA,American White IPA,12.0,0.06,489,Blue Point Brewing Company,Patchogue,NY
322,667,Blue Point Summer Ale,American Blonde Ale,12.0,0.044,489,Blue Point Brewing Company,Patchogue,NY
323,665,Toasted Lager,Vienna Lager,12.0,0.055,489,Blue Point Brewing Company,Patchogue,NY
324,1607,Bohemian Export Lager,Dortmunder / Export Lager,12.0,0.06,364,Bohemian Brewery,Midvale,UT
325,1597,Altus Bohemes Altbier,Altbier,12.0,0.053,364,Bohemian Brewery,Midvale,UT
326,344,Cherny Bock,Schwarzbier,12.0,0.04,364,Bohemian Brewery,Midvale,UT
327,89,Czech Pilsner,Czech Pilsener,12.0,0.05,364,Bohemian Brewery,Midvale,UT
328,88,Viennese Lager,Vienna Lager,12.0,0.05,364,Bohemian Brewery,Midvale,UT
329,1569,Mad Manatee IPA,American IPA,12.0,0.065,378,Bold City Brewery,Jacksonville,FL
330,1568,Killer Whale Cream Ale,Cream Ale,12.0,0.055,378,Bold City Brewery,Jacksonville,FL
331,1188,Duke's Cold Nose Brown Ale,American Brown Ale,12.0,0.06,378,Bold City Brewery,Jacksonville,FL
334,577,Bomb Lager (New Recipe),Munich Helles Lager,12.0,0.051,525,Bomb Beer Company,New York,NY
335,513,Bomb Lager (Old Recipe),Munich Helles Lager,12.0,0.045,525,Bomb Beer Company,New York,NY
